time,TDryBul,relHum,pAtm,HGloHor,HDifHor,winSpe,winDir
0,300.35,0.91,100877,0.0,0.0,1.6,0.0
3600,301.45,0.87,100836,0.0,0.0,0.7,0.0
7200,301.15,0.9,100673,0.0,0.0,0.7,0.0
10800,301.35,0.86,100543,0.0,0.0,2.0,0.0
14400,301.35,0.91,100637,0.0,0.0,1.3,0.0
18000,299.25,0.94,101056,0.0,0.0,1.3,0.0
21600,301.65,0.87,101020,0.0,0.0,1.7,0.0
25200,299.65,0.89,100882,0.0,0.0,0.7,0.0
28800,299.05,0.94,100882,0.0,0.0,0.0,0.0
32400,299.35,0.93,100979,0.0,0.0,0.3,0.0
36000,300.55,0.88,100640,0.0,0.0,0.0,0.0
39600,302.45,0.83,100304,0.0,0.0,1.3,0.0
43200,303.55,0.83,100248,0.0,0.0,2.0,0.0
46800,299.75,0.88,100779,0.0,0.0,2.0,0.0
50400,298.95,0.91,101069,0.0,0.0,1.3,0.0
54000,298.95,0.94,101085,0.0,0.0,0.7,0.0
57600,301.15,0.92,100823,0.0,0.0,0.7,0.0
61200,297.85,0.93,100832,0.0,0.0,1.7,0.0
64800,301.55,0.88,100990,0.0,0.0,1.0,0.0
68400,301.85,0.83,100963,0.0,0.0,1.7,0.0
72000,299.45,0.91,100999,0.0,0.0,0.3,0.0
75600,301.45,0.86,100863,0.0,0.0,0.3,0.0
79200,299.05,0.93,100995,0.0,0.0,0.3,0.0
82800,298.95,0.91,101159,0.0,0.0,0.0,0.0
86400,298.55,0.94,101079,0.0,0.0,1.3,0.0
90000,298.35,0.94,101079,0.0,0.0,0.7,0.0
93600,297.85,0.91,101122,0.0,0.0,1.3,0.0
97200,299.65,0.92,101026,0.0,0.0,0.0,0.0
100800,301.25,0.85,100870,0.0,0.0,2.0,0.0
104400,301.05,0.85,100763,0.0,0.0,0.3,0.0
108000,299.95,0.93,100859,0.0,0.0,1.0,0.0
111600,301.15,0.88,100840,0.0,0.0,1.0,0.0
115200,300.85,0.92,100670,0.0,0.0,1.0,0.0
118800,301.15,0.87,100540,0.0,0.0,2.0,0.0
122400,301.15,0.93,100600,0.0,0.0,1.0,0.0
126000,299.15,0.95,101069,0.0,0.0,2.0,0.0
129600,301.25,0.89,101010,0.0,0.0,2.0,0.0
133200,299.65,0.88,100849,0.0,0.0,0.0,0.0
136800,298.85,0.94,100869,0.0,0.0,0.0,0.0
140400,299.15,0.94,100969,0.0,0.0,0.0,0.0
144000,299.85,0.9,100649,0.0,0.0,0.0,0.0
147600,302.15,0.85,100270,0.0,0.0,1.0,0.0
151200,303.15,0.85,100261,0.0,0.0,2.0,0.0
154800,299.65,0.89,100769,0.0,0.0,2.0,0.0
158400,298.85,0.92,101019,0.0,0.0,1.0,0.0
162000,298.85,0.94,101029,0.0,0.0,1.0,0.0
165600,300.85,0.93,100760,0.0,0.0,0.0,0.0
169200,297.65,0.94,100819,0.0,0.0,1.0,0.0
172800,301.15,0.89,100970,0.0,0.0,1.0,0.0
176400,301.65,0.85,100960,0.0,0.0,2.0,0.0
180000,299.35,0.92,101009,0.0,0.0,0.0,0.0
183600,301.15,0.89,100850,0.0,0.0,0.0,0.0
187200,298.75,0.95,100979,0.0,0.0,0.0,0.0
190800,298.65,0.91,101129,0.0,0.0,0.0,0.0
194400,298.35,0.95,101049,0.0,0.0,1.0,0.0
